movie_id,genre
2045556,Biography
2045538,Drama
2045538,Crime
2045277,Documentary
2045275,Documentary
2044666,Comedy
2044666,Short
2044411,Comedy
2044411,Family
2044097,Comedy
2044027,Comedy
2043957,Comedy
2043953,Drama
2043853,Comedy
2043798,Musical
2043798,Comedy
2043491,Drama
2043342,Drama
2037625,Comedy
2043167,Drama
2042309,Comedy
2040051,Comedy
2040051,Adventure
2042974,Comedy
2041322,Drama
2040518,Comedy
2041432,Comedy
2040399,Romance
2040399,Drama
2042090,Drama
2042090,Comedy
2040159,Comedy
2040159,Thriller
2030359,Mystery
2030359,Horror
2042446,Romance
2042446,Action
2040814,Crime
2040814,Drama
2040814,Romance
2041273,Drama
2041273,Thriller
2041273,Crime
2041620,Comedy
1569471,Drama
2039611,Thriller
2039611,Crime
2041988,Drama
2041988,Mystery
2040734,Drama
2040734,Romance
2040734,Comedy
2012454,War
2012454,Drama
2028512,Drama
2041500,Action
2041500,Thriller
2037684,Comedy
2040189,Thriller
2040189,Action
2033032,Thriller
2033032,Drama
2037860,Drama
2036554,Comedy
2033058,Short
2042558,Comedy
2040032,Drama
2042523,Comedy
1724389,Drama
2042558,Comedy
2033058,Short
2056984,Family
2056984,Comedy
2056984,Adventure
2056984,Action
2056984,Animation
2051804,Documentary
2046596,Documentary
2034286,Drama
2041442,Documentary
2042435,Biography
2042435,Documentary
2041968,Comedy
2041761,Drama
2041445,History
2041445,Documentary
2041419,Drama
2027319,Drama
2040092,Drama
2040092,Romance
2037433,Drama
2037433,Thriller
2037433,Action
2037433,Romance
2041105,Drama
2041004,Drama
2037742,Documentary
2037742,History
2037742,War
2037742,Drama
2040327,Comedy
2040327,Adventure
2040327,Action
2035453,Comedy
2027650,Romance
2027650,Sport
2027650,Drama
2039425,Comedy
2039425,Romance
2036604,Thriller
2036604,Drama
2036535,Comedy
1609015,Drama
2030800,Drama
2030800,Romance
2033526,Romance
2033526,Comedy
2033526,Family
2035757,Drama
2035757,Thriller
2035757,Action
2039299,Comedy
2027294,Action
2027294,Crime
2027294,Drama
2036620,Comedy
2036620,Fantasy
2030431,Thriller
2030431,Comedy
2037288,Drama
2037288,Thriller
2037288,Mystery
2037288,Horror
2037288,Horror
2036938,Short
2036881,Thriller
2036881,Action
2034299,Drama
2030475,Thriller
2030475,Mystery
2030475,Crime
2036270,Comedy
2036270,Drama
2035332,Comedy
