movie_id,authority,rating









2066560,Egypt,All Ages





2032499,elCinema.com,Adult Supervision

2032459,MPAA,Unrated






















1011138,elCinema.com,Adult Supervision
2037031,elCinema.com,Adults Only (18+)




2036398,elCinema.com,Adult Supervision

2027320,elCinema.com,Family (all ages)




2005930,elCinema.com,Adult Supervision
2027711,elCinema.com,Adult Supervision


2029989,Egypt,All Ages
2032773,elCinema.com,Adult Supervision

1341537,elCinema.com,Adult Supervision

2020240,elCinema.com,Adult Supervision
2028402,Egypt,All Ages
2031108,elCinema.com,Adult Supervision
2029813,Egypt,All Ages
2033156,elCinema.com,Adult Supervision
2030601,elCinema.com,Adult Supervision
2033060,Egypt,All Ages
2019662,elCinema.com,Adult Supervision
2029160,Egypt,All Ages
2029814,Egypt,All Ages
2025865,elCinema.com,Family (all ages)
2019799,Egypt,All Ages



2026233,Egypt,All Ages
2030243,Egypt,All Ages
2022405,Egypt,All Ages
2029993,Egypt,All Ages
2029347,elCinema.com,Family (all ages)
2026456,MPAA,Unrated

2021758,elCinema.com,Family (all ages)
2026145,elCinema.com,Adults Only (18+)
2025632,elCinema.com,Adults Only (18+)
2018918,elCinema.com,Adult Supervision
2027144,elCinema.com,Adult Supervision
2018285,elCinema.com,Adult Supervision
2027056,elCinema.com,Family (all ages)
2022240,elCinema.com,Adult Supervision
2010133,elCinema.com,Adults Only (18+)















2057079,Egypt,All Ages


2033652,Egypt,All Ages
1521400,elCinema.com,Adults Only (18+)





2021917,elCinema.com,Adults Only (18+)


2025529,MPAA,NR
2021036,elCinema.com,Adults Only (18+)

2025730,elCinema.com,Adult Supervision
2018829,elCinema.com,Family (all ages)


2021511,elCinema.com,Adult Supervision
2012045,elCinema.com,Adult Supervision
2021414,elCinema.com,Adults Only (18+)
2025534,elCinema.com,Adults Only (18+)
2018480,Egypt,All Ages
2010388,MPAA,Unrated

2005518,elCinema.com,Adults Only (18+)
2007223,MPAA,G
2020280,elCinema.com,Adult Supervision
2018931,elCinema.com,Adult Supervision
2016632,elCinema.com,Adults Only (18+)

1294243,elCinema.com,Adult Supervision
2020082,elCinema.com,Adult Supervision
2017531,elCinema.com,Family (all ages)
2019606,elCinema.com,Adult Supervision
2018696,elCinema.com,Family (all ages)
2005249,Egypt,All Ages

2007825,Egypt,All Ages
2018689,elCinema.com,Adult Supervision












2037198,Egypt,All Ages

2003922,elCinema.com,Adult Supervision
2018955,MPAA,Unrated
1416070,Egypt,All Ages

2004777,elCinema.com,Family (all ages)
2018834,MPAA,Unrated
1390468,elCinema.com,Adult Supervision

1275307,elCinema.com,Family (all ages)
2017768,elCinema.com,Adult Supervision
1178712,Egypt,All Ages

2016635,Egypt,All Ages
1334680,Egypt,All Ages
2018084,Egypt,All Ages
2018558,Egypt,All Ages

2017313,Egypt,All Ages

2005960,Egypt,All Ages
2008910,Egypt,+18

2012060,Egypt,All Ages

2008377,Egypt,+18


2012371,elCinema.com,Family (all ages)
2006333,elCinema.com,Family (all ages)

2006874,Egypt,All Ages

2010446,elCinema.com,Adult Supervision
2011165,Egypt,All Ages





2005087,Egypt,+18























1453872,elCinema.com,Family (all ages)





2012325,Egypt,All Ages

















1242904,MPAA,Unrated






2005521,Egypt,All Ages

1399339,elCinema.com,Adults Only (18+)




2003980,elCinema.com,Adults Only (18+)



1068941,Egypt,+12


























2060948,Egypt,+18




2009223,elCinema.com,Family (all ages)
2003858,elCinema.com,Family (all ages)
2011731,elCinema.com,Family (all ages)







2003859,elCinema.com,Family (all ages)




1783907,elCinema.com,Adults Only (18+)






1131274,elCinema.com,Adult Supervision


1540841,Egypt,All Ages


1354428,Egypt,All Ages
1313173,elCinema.com,Family (all ages)
1010034,Egypt,+12
1992899,Egypt,All Ages



1010349,elCinema.com,Adults Only (18+)



1442517,Egypt,+18
1827195,Egypt,+18


1010039,Egypt,+18









1327200,elCinema.com,Adult Supervision



1011064,Egypt,+18
1576815,Egypt,All Ages










1010518,Egypt,All Ages







1601492,elCinema.com,Family (all ages)

1010357,Egypt,+18





1011627,elCinema.com,Family (all ages)
1449336,Egypt,+16



1010314,Egypt,+18



1011393,Egypt,+18
1011602,Egypt,All Ages









1232950,elCinema.com,Family (all ages)
1010055,Egypt,+18
1011000,elCinema.com,Family (all ages)
1010202,MPAA,Unrated

1010600,elCinema.com,Family (all ages)

1005263,elCinema.com,Family (all ages)

1010519,Egypt,+18
1011334,Egypt,+18


1007770,Egypt,All Ages

1010162,elCinema.com,Adults Only (18+)

1238807,Egypt,All Ages



1010816,Egypt,All Ages




1010070,Egypt,+18



1010350,Egypt,+18
1010515,elCinema.com,Family (all ages)


1011139,elCinema.com,Family (all ages)







1010356,elCinema.com,Adult Supervision


1010054,Egypt,All Ages

1010281,Egypt,All Ages












1007858,elCinema.com,Family (all ages)
1007913,elCinema.com,Family (all ages)



1001585,elCinema.com,Adult Supervision


1002037,Egypt,+18
1004070,elCinema.com,Adult Supervision

1005661,Egypt,All Ages












1004703,Egypt,All Ages




1010017,MPAA,Unrated









1001611,elCinema.com,Family (all ages)

1007172,Egypt,+18


1009131,MPAA,Unrated
1009455,Egypt,All Ages

1010015,Egypt,All Ages





1009104,elCinema.com,Family (all ages)



1006523,elCinema.com,Adult Supervision



1003400,elCinema.com,Family (all ages)
1010035,elCinema.com,Adult Supervision
1010000,Egypt,+18


1010232,Egypt,All Ages





















1010021,Egypt,+18



1005842,Egypt,+18


1010008,elCinema.com,Adult Supervision

1004051,Egypt,All Ages


1010047,elCinema.com,Adult Supervision




1004530,elCinema.com,Adults Only (18+)
1003388,elCinema.com,Family (all ages)
1010016,elCinema.com,Family (all ages)

1010032,Egypt,+18







1779445,elCinema.com,Family (all ages)
1010149,elCinema.com,Adult Supervision

1011313,Egypt,All Ages











1005459,elCinema.com,Adults Only (18+)




1010012,Egypt,All Ages
1010003,Egypt,All Ages
1008073,Egypt,All Ages

1006015,Egypt,All Ages








1010868,elCinema.com,Adults Only (18+)
2034677,elCinema.com,Adults Only (18+)




1010177,Egypt,All Ages
1010230,MPAA,Unrated


1427091,Egypt,All Ages
1001538,Egypt,All Ages
1010051,Egypt,+12
1010151,elCinema.com,Family (all ages)
1010203,Egypt,All Ages




















1001090,elCinema.com,Adult Supervision
1002068,elCinema.com,Family (all ages)

1007744,Egypt,All Ages
1010947,elCinema.com,Adult Supervision
1010235,Egypt,All Ages


1000626,elCinema.com,Family (all ages)








1000982,Egypt,All Ages









1001576,elCinema.com,Adults Only (18+)


1010295,elCinema.com,Adult Supervision
1010123,Egypt,All Ages

1007402,elCinema.com,Family (all ages)



1005518,Egypt,All Ages


1010101,elCinema.com,Adult Supervision
1010213,Egypt,All Ages
1002085,elCinema.com,Family (all ages)


1006048,elCinema.com,Adults Only (18+)








1003449,Egypt,+18



1594780,elCinema.com,Family (all ages)
1007076,Egypt,All Ages

1005536,Egypt,+18
1010968,elCinema.com,Adults Only (18+)

1005536,Egypt,+18
1010145,Egypt,All Ages
1010627,Egypt,+18


1003277,Egypt,All Ages


2001806,Egypt,All Ages


1003419,elCinema.com,Family (all ages)


1010338,elCinema.com,Adults Only (18+)

1011607,elCinema.com,Adult Supervision
1004868,Egypt,All Ages
1007912,Egypt,All Ages




1690008,Egypt,All Ages
1009698,Egypt,All Ages


